Name,Op,Latency,DSPs,URAMs,BRAMs,NumAlu,PermTput,ScratchSize,BW
Set-1,CtCtAdd,654.66432159744,704,128,64,64,2,524288,128
Set-1,CtCtAdd,436.4428810649599,704,128,64,64,2,524288,256
Set-1,CtCtAdd,436.4428810649599,704,128,64,64,2,524288,460
Set-1,CtCtAdd,654.66432159744,704,128,64,128,2,524288,128
Set-1,CtCtAdd,327.33216079872,1408,256,64,128,2,1048576,256
Set-1,CtCtAdd,218.22144053247996,1408,256,64,128,2,1048576,460
Set-1,CtCtAdd,654.66432159744,704,128,64,256,2,524288,128
Set-1,CtCtAdd,327.33216079872,1408,256,64,256,2,1048576,256
Set-1,CtCtAdd,182.1674634010268,2816,512,64,256,2,2097152,460
Set-1,CtCtAdd,654.66432159744,704,128,64,512,2,524288,128
Set-1,CtCtAdd,327.33216079872,1408,256,64,512,2,1048576,256
Set-1,CtCtAdd,182.1674634010268,2816,512,64,512,2,2097152,460
Set-1,CtCtMult,217949.5813011865,704,768,64,64,64,21495808,128
Set-1,CtCtMult,217034.08033972216,704,640,64,64,64,19398656,256
Set-1,CtCtMult,216730.54476367062,704,512,64,64,64,16252928,460
Set-1,CtCtMult,114911.86453340157,1408,768,128,128,128,23068672,128
Set-1,CtCtMult,108974.79065059325,1408,768,128,128,128,22020096,256
Set-1,CtCtMult,108568.78587637864,1408,768,128,128,128,19922944,460
Set-1,CtCtMult,65903.7926101811,2816,1024,256,256,256,23068672,128
Set-1,CtCtMult,57455.93226670079,2816,1024,256,256,256,23068672,256
Set-1,CtCtMult,54539.14103181417,2816,1024,256,256,256,23068672,460
Set-1,CtCtMult,41454.312008704,5632,1024,512,512,512,25165824,128
Set-1,CtCtMult,32951.89630509055,5632,1024,512,512,512,25165824,256
Set-1,CtCtMult,29205.453891894937,5632,1024,512,512,512,25165824,460
Set-1,Rescale,15087.03686590464,704,768,64,64,64,23068672,128
Set-1,Rescale,14660.513141227519,704,384,64,64,64,11534336,256
Set-1,Rescale,14660.513141227519,704,384,64,64,64,9437184,460
Set-1,Rescale,8183.304019968,1408,768,128,128,128,23068672,128
Set-1,Rescale,7543.51843295232,1408,768,128,128,128,23068672,256
Set-1,Rescale,7330.256570613759,1408,512,128,128,128,11534336,460
Set-1,Rescale,4731.43759699968,2816,1024,256,256,256,23068672,128
Set-1,Rescale,4091.652009984,2816,1024,256,256,256,23068672,256
Set-1,Rescale,3807.921010524872,2816,1024,256,256,256,23068672,460
Set-1,Rescale,3005.50438551552,5632,1024,512,512,512,25165824,128
Set-1,Rescale,2365.71879849984,5632,1024,512,512,512,25165824,256
